CMDLINE /home/nvremort/miniconda3/envs/mypythonenv/bin/python3.14 profiler_test.py
MEM 0.347656 1773827337.8007
MEM 32.183594 1773827337.9012
MEM 38.503906 1773827338.0017
MEM 38.503906 1773827338.1022
MEM 38.503906 1773827338.2026
MEM 38.503906 1773827338.3031
MEM 38.503906 1773827338.4036
MEM 38.503906 1773827338.5042
MEM 38.503906 1773827338.6047
MEM 39.488281 1773827338.7052
MEM 42.058594 1773827338.8056
MEM 44.078125 1773827338.9061
