CMDLINE /home/nvremort/miniconda3/envs/mypythonenv/bin/python3.14 profiling_decorator.py
MEM 34.550781 1773829236.1745
MEM 34.550781 1773829236.2749
MEM 34.550781 1773829236.3753
MEM 34.550781 1773829236.4758
MEM 34.550781 1773829236.5762
MEM 34.550781 1773829236.6766
MEM 34.550781 1773829236.7770
MEM 34.550781 1773829236.8774
MEM 34.550781 1773829236.9778
MEM 34.550781 1773829237.0782
MEM 34.550781 1773829237.1786
MEM 34.550781 1773829237.2790
MEM 34.550781 1773829237.3793
MEM 34.550781 1773829237.4797
MEM 34.550781 1773829237.5801
MEM 34.550781 1773829237.6806
MEM 34.550781 1773829237.7810
MEM 34.550781 1773829237.8814
MEM 34.550781 1773829237.9817
MEM 34.550781 1773829238.0822
MEM 34.550781 1773829238.1826
MEM 34.550781 1773829238.2831
MEM 34.550781 1773829238.3835
MEM 34.550781 1773829238.4840
MEM 34.550781 1773829238.5844
MEM 34.550781 1773829238.6848
MEM 34.550781 1773829238.7853
MEM 34.550781 1773829238.8858
MEM 34.550781 1773829238.9862
MEM 34.550781 1773829239.0867
MEM 34.550781 1773829239.1871
MEM 34.550781 1773829239.2875
MEM 34.550781 1773829239.3879
MEM 34.550781 1773829239.4885
MEM 34.550781 1773829239.5890
MEM 34.550781 1773829239.6895
MEM 34.550781 1773829239.7900
MEM 34.550781 1773829239.8905
MEM 34.550781 1773829239.9911
MEM 34.550781 1773829240.0918
MEM 34.550781 1773829240.1923
MEM 34.550781 1773829240.2929
MEM 34.550781 1773829240.3935
MEM 34.550781 1773829240.4939
MEM 34.550781 1773829240.5944
MEM 34.550781 1773829240.6948
MEM 34.550781 1773829240.7953
MEM 34.550781 1773829240.8958
MEM 34.550781 1773829240.9963
MEM 34.550781 1773829241.0967
MEM 34.550781 1773829241.1971
MEM 34.550781 1773829241.2976
MEM 34.550781 1773829241.3981
MEM 34.550781 1773829241.4986
MEM 34.550781 1773829241.5992
MEM 34.550781 1773829241.6997
MEM 34.550781 1773829241.8002
MEM 34.550781 1773829241.9007
MEM 34.550781 1773829242.0011
MEM 34.550781 1773829242.1014
MEM 34.550781 1773829242.2018
MEM 34.550781 1773829242.3023
MEM 34.550781 1773829242.4028
MEM 34.550781 1773829242.5033
MEM 34.550781 1773829242.6038
MEM 34.550781 1773829242.7042
MEM 34.550781 1773829242.8048
MEM 34.550781 1773829242.9052
MEM 34.550781 1773829243.0057
MEM 34.550781 1773829243.1061
MEM 34.550781 1773829243.2066
MEM 34.550781 1773829243.3071
MEM 34.550781 1773829243.4077
MEM 34.550781 1773829243.5083
MEM 34.550781 1773829243.6088
MEM 34.550781 1773829243.7094
MEM 34.550781 1773829243.8099
MEM 34.550781 1773829243.9103
MEM 34.550781 1773829244.0109
MEM 34.550781 1773829244.1114
MEM 34.550781 1773829244.2117
MEM 34.550781 1773829244.3122
MEM 34.550781 1773829244.4127
MEM 34.550781 1773829244.5132
MEM 34.550781 1773829244.6138
MEM 34.550781 1773829244.7143
MEM 34.550781 1773829244.8149
MEM 34.550781 1773829244.9152
MEM 34.550781 1773829245.0157
MEM 34.550781 1773829245.1162
MEM 34.550781 1773829245.2167
MEM 34.550781 1773829245.3172
MEM 34.550781 1773829245.4178
MEM 34.550781 1773829245.5183
MEM 34.550781 1773829245.6189
MEM 34.550781 1773829245.7193
MEM 34.550781 1773829245.8198
MEM 34.550781 1773829245.9202
MEM 34.550781 1773829246.0206
MEM 34.550781 1773829246.1211
MEM 34.550781 1773829246.2216
MEM 34.550781 1773829246.3221
MEM 34.550781 1773829246.4227
MEM 34.550781 1773829246.5232
MEM 34.550781 1773829246.6237
MEM 34.550781 1773829246.7242
MEM 34.550781 1773829246.8248
MEM 34.550781 1773829246.9254
MEM 34.550781 1773829247.0259
MEM 34.550781 1773829247.1264
MEM 34.550781 1773829247.2269
MEM 34.550781 1773829247.3273
MEM 34.550781 1773829247.4279
MEM 34.550781 1773829247.5284
MEM 34.550781 1773829247.6290
MEM 34.550781 1773829247.7294
MEM 34.550781 1773829247.8299
MEM 34.550781 1773829247.9304
MEM 34.550781 1773829248.0309
MEM 34.550781 1773829248.1313
MEM 34.550781 1773829248.2318
MEM 34.550781 1773829248.3324
MEM 34.550781 1773829248.4330
MEM 34.550781 1773829248.5335
MEM 34.550781 1773829248.6339
MEM 34.550781 1773829248.7343
MEM 34.550781 1773829248.8347
MEM 34.550781 1773829248.9351
MEM 34.550781 1773829249.0356
MEM 34.550781 1773829249.1360
MEM 34.550781 1773829249.2365
MEM 34.550781 1773829249.3370
MEM 34.550781 1773829249.4374
MEM 34.550781 1773829249.5379
MEM 34.550781 1773829249.6385
MEM 34.550781 1773829249.7390
MEM 34.550781 1773829249.8395
MEM 34.550781 1773829249.9399
MEM 34.550781 1773829250.0404
MEM 34.550781 1773829250.1408
MEM 34.550781 1773829250.2413
MEM 34.550781 1773829250.3420
MEM 34.550781 1773829250.4425
MEM 34.550781 1773829250.5430
MEM 34.550781 1773829250.6435
MEM 34.550781 1773829250.7439
MEM 34.550781 1773829250.8443
MEM 34.550781 1773829250.9448
MEM 34.550781 1773829251.0453
MEM 34.550781 1773829251.1457
MEM 34.550781 1773829251.2462
MEM 34.550781 1773829251.3466
MEM 34.550781 1773829251.4472
MEM 34.550781 1773829251.5476
MEM 34.550781 1773829251.6480
MEM 34.550781 1773829251.7485
MEM 34.550781 1773829251.8489
MEM 34.550781 1773829251.9494
MEM 34.550781 1773829252.0500
MEM 34.550781 1773829252.1504
MEM 34.550781 1773829252.2508
MEM 34.550781 1773829252.3513
MEM 34.550781 1773829252.4517
MEM 34.550781 1773829252.5521
MEM 34.550781 1773829252.6526
MEM 34.550781 1773829252.7530
MEM 34.550781 1773829252.8535
MEM 34.550781 1773829252.9538
MEM 34.550781 1773829253.0543
MEM 34.550781 1773829253.1548
MEM 34.550781 1773829253.2551
MEM 34.550781 1773829253.3556
MEM 34.550781 1773829253.4561
MEM 34.550781 1773829253.5565
MEM 34.550781 1773829253.6570
MEM 34.550781 1773829253.7573
MEM 34.550781 1773829253.8578
MEM 34.550781 1773829253.9583
MEM 34.550781 1773829254.0589
MEM 34.550781 1773829254.1595
MEM 34.550781 1773829254.2600
MEM 34.550781 1773829254.3605
MEM 34.550781 1773829254.4611
MEM 34.550781 1773829254.5615
