CMDLINE /home/nvremort/venv/bin/python3 profiler_test.py
MEM 0.500000 1709659664.3944
MEM 20.281250 1709659664.5006
MEM 32.308594 1709659664.6065
MEM 43.421875 1709659664.7125
MEM 49.546875 1709659664.8183
MEM 51.921875 1709659664.9241
MEM 52.171875 1709659665.0356
MEM 52.171875 1709659665.1492
MEM 52.171875 1709659665.2659
MEM 52.671875 1709659665.3718
MEM 54.046875 1709659665.4782
MEM 55.921875 1709659665.5853
MEM 57.171875 1709659665.6931
MEM 58.351562 1709659665.7989
MEM 58.351562 1709659665.9047
MEM 58.351562 1709659666.0105
MEM 0.000000 1709659666.1162
