CMDLINE /home/nvremort/miniconda3/envs/mypythonenv/bin/python3.14 profiler_test.py
MEM 0.558594 1773230418.5465
MEM 30.933594 1773230418.6469
MEM 39.156250 1773230418.7473
MEM 42.460938 1773230418.8477
MEM 44.441406 1773230418.9481
