CMDLINE /home/nvremort/venv/bin/python3 profiler_test.py
MEM 0.500000 1741267439.1656
MEM 22.277344 1741267439.2659
MEM 34.285156 1741267439.3662
MEM 43.781250 1741267439.4665
MEM 49.406250 1741267439.5667
MEM 51.906250 1741267439.6671
MEM 52.406250 1741267439.7674
MEM 56.531250 1741267439.8677
MEM 60.273438 1741267439.9680
MEM 60.273438 1741267440.0683
MEM 60.273438 1741267440.1685
MEM 50.816406 1741267440.2688
