CMDLINE /home/nvremort/venv/bin/python3 profiler_test.py
MEM 0.625000 1709659102.4178
MEM 22.085938 1709659102.5181
MEM 33.386719 1709659102.6184
MEM 43.425781 1709659102.7187
MEM 49.675781 1709659102.8191
MEM 51.675781 1709659102.9194
MEM 53.175781 1709659103.0197
MEM 55.550781 1709659103.1201
MEM 58.003906 1709659103.2203
MEM 58.003906 1709659103.3206
MEM 58.003906 1709659103.4209
MEM 53.250000 1709659103.5212
