CMDLINE /home/nvremort/venv/bin/python3 profiler_test.py
MEM 0.625000 1710326129.4109
MEM 21.652344 1710326129.5112
MEM 29.527344 1710326129.6115
MEM 32.527344 1710326129.7118
MEM 38.761719 1710326129.8121
MEM 38.761719 1710326129.9124
MEM 38.761719 1710326130.0127
